"id","userId","sl_no","type","itemId","originId","amount","quantity","createdAt","updatedAt","stock","avgRate"
"e9812c62-0e29-4b62-84dd-8639d439b5fb","785f39c4-0c76-4730-a663-e68df8e16bde","1","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","203","15","2024-09-30 04:08:18.685","2024-09-30 04:08:18.685","114","12.99"
"ea6c9cf6-1686-41d4-b946-ab44341c7da3","785f39c4-0c76-4730-a663-e68df8e16bde","17","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","650","50","2024-09-29 13:43:40.729","2024-09-30 05:50:18.509","244","12.99"
"eacddddd-322b-4b87-9f50-c0ff04dc6f4b","785f39c4-0c76-4730-a663-e68df8e16bde","27","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","260","20","2024-09-29 19:55:11.188","2024-09-30 12:38:56.981","219","12.99"
"eaecf159-2e7f-495e-b750-b478ed711729","785f39c4-0c76-4730-a663-e68df8e16bde","11","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","130","10","2024-09-27 12:48:23.553","2024-09-30 05:50:18.509","264","12.93"
"eb898f94-0c24-4645-8445-18495a6d86f0","785f39c4-0c76-4730-a663-e68df8e16bde","4","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","120","10","2024-09-30 05:07:21.819","2024-09-30 05:07:21.819","84","12.99"
"ebb011e8-c1a5-4612-864d-6b8374536a97","4e2364e5-6611-4e4f-907b-43923da742f4","6","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","2e22fcab-6896-4999-bcb8-3eae746250c7","130","10","2024-09-28 06:58:11.07","2024-09-30 05:50:18.509","197","12.93"
"ec97e1ee-97f4-493f-88f1-a83336c4c04e","785f39c4-0c76-4730-a663-e68df8e16bde","4","SELL","c18c0ba0-0833-46d4-91cb-4239dfa99618","3a15ea2f-ac58-4668-97aa-7f71e2c04a53","129","3","2024-09-26 04:58:40.998","2024-09-26 04:58:40.998","453","43.72"
"ec9e2ed0-e9d5-4bb7-a4a1-108b6d36b813","785f39c4-0c76-4730-a663-e68df8e16bde","10","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","2e22fcab-6896-4999-bcb8-3eae746250c7","221","17","2024-09-26 07:01:49.854","2024-09-30 05:50:18.509","88","12.97"
"eda7977c-80a9-4573-96ff-02162fd8ab5e","785f39c4-0c76-4730-a663-e68df8e16bde","6","SELL","c18c0ba0-0833-46d4-91cb-4239dfa99618","3a15ea2f-ac58-4668-97aa-7f71e2c04a53","129","3","2024-09-26 05:21:54.183","2024-09-26 05:21:54.183","450","43.68"
"eea3101a-b1a9-4423-8a31-0d654cc14a6e","785f39c4-0c76-4730-a663-e68df8e16bde","28","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","130","10","2024-09-25 15:27:05.948","2024-09-30 12:38:56.981","127","13.02"
"eee662a6-eeb8-494f-af40-998d1d3fad9b","4e2364e5-6611-4e4f-907b-43923da742f4","1","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","2e22fcab-6896-4999-bcb8-3eae746250c7","510","39","2024-09-28 06:31:11.09","2024-09-28 06:31:11.09","268","12.92"
"ef432aa7-716a-4b66-9fff-07b5894a9c24","785f39c4-0c76-4730-a663-e68df8e16bde","26","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","221","17","2024-09-29 19:54:48.577","2024-09-30 12:38:56.981","239","12.99"
"ef87d2f2-e1af-46b8-bd30-113cfacf7c54","785f39c4-0c76-4730-a663-e68df8e16bde","5","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","112","8","2024-09-28 06:34:12.816","2024-09-28 06:34:12.816","260","12.93"
"efda1e5a-40ca-436a-a9ff-89a2e4d88237","785f39c4-0c76-4730-a663-e68df8e16bde","42","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","2e22fcab-6896-4999-bcb8-3eae746250c7","130","10","2024-09-25 18:53:05.588","2024-09-30 12:38:56.981","292","13.02"
"efe0a23e-b348-4f0e-818a-1939ec51480d","4e2364e5-6611-4e4f-907b-43923da742f4","29","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","2e22fcab-6896-4999-bcb8-3eae746250c7","1300","100","2024-09-26 12:33:45.054","2024-09-30 12:38:56.981","164","12.98"
